ID_CLIENTE,FECHA,TIPO DE CREDITO,COOPERATIVA,MONTO,PLAZO,PAGADURIA,ANIO_NACIMIENTO,ESTADO,FECHA DE DESEMBOLSO,EDAD_AL_PRESTAMO,DIAS_HASTA_DESEMBOLSO,MONTO_M,ANIO,MES
40,2019-08-12,COMPRA DE CARTERA,MISSION,15000000.0,96.0,FIDUPREVISORA,1944,NO_DESEMBOLSADO,,75.0,,15.0,2019.0,8.0
41,2019-08-12,COMPRA DE CARTERA,CREDIVALORES,16813902.0,144.0,COLPENSIONES,1947,NO_DESEMBOLSADO,,72.0,,16.813902,2019.0,8.0
42,2019-08-12,LIBRE INVERSIÓN,COPFINANCIAR,1000000.0,48.0,COLPENSIONES,1933,DESEMBOLSADO,2019-08-23,86.0,11.0,1.0,2019.0,8.0
43,2019-08-12,COMPRA DE CARTERA,SUDAMERIS,9500000.0,96.0,TEGEN,1970,NO_DESEMBOLSADO,,49.0,,9.5,2019.0,8.0
44,2019-08-12,COMPRA DE CARTERA,BAYPORT,10000000.0,72.0,MINDEFENSA,1953,NO_DESEMBOLSADO,,66.0,,10.0,2019.0,8.0
45,2019-08-12,LIBRE INVERSIÓN,MISSION,5800000.0,96.0,COLPENSIONES,1950,DESEMBOLSADO,2019-08-21,69.0,9.0,5.8,2019.0,8.0
46,2019-08-12,COMPRA DE CARTERA,CREDIVALORES,16394000.0,144.0,COLPENSIONES,1963,DESEMBOLSADO,2019-08-28,56.0,16.0,16.394,2019.0,8.0
47,2019-08-12,LIBRE INVERSIÓN,CREDIVALORES,7734000.0,120.0,MAPFRE,,DESEMBOLSADO,2019-09-06,,25.0,7.734,2019.0,8.0
48,2019-08-13,COMPRA DE CARTERA,MISSION,25000000.0,108.0,FIDUPREVISORA,1960,DESEMBOLSADO,2019-09-25,59.0,,25.0,2019.0,8.0
49,2019-08-14,LIBRE INVERSIÓN,COOPIDESARROLLO,1000000.0,18.0,COLPENSIONES,1954,NO_DESEMBOLSADO,,65.0,,1.0,2019.0,8.0
50,2019-08-15,LIBRE INVERSIÓN,MISSION,3500000.0,108.0,COLPENSIONES,1954,NO_DESEMBOLSADO,,65.0,,3.5,2019.0,8.0
51,2019-08-16,COMPRA DE CARTERA,MISSION,1900000.0,108.0,COLPENSIONES,1950,DESEMBOLSADO,,69.0,,1.9,2019.0,8.0
52,2019-08-16,COMPRA DE CARTERA,MISSION,23300000.0,108.0,COLPENSIONES,1951,DESEMBOLSADO,2019-08-27,68.0,11.0,23.3,2019.0,8.0
53,2019-08-20,COMPRA DE CARTERA,CREDIVALORES,11000000.0,120.0,COLPENSIONES,,DESEMBOLSADO,2019-09-25,,,11.0,2019.0,8.0
